ds;y
01.01.2019 01:00;50.26
01.01.2019 02:00;48.74
01.01.2019 03:00;47.24
01.01.2019 04:00;36.29
01.01.2019 05:00;30.09
01.01.2019 06:00;27.31
01.01.2019 07:00;28.53
01.01.2019 08:00;26.84
01.01.2019 09:00;28.7
01.01.2019 10:00;35.7
01.01.2019 11:00;37.53
01.01.2019 12:00;38.36
01.01.2019 13:00;43.95
01.01.2019 14:00;43.07
01.01.2019 15:00;38.82
01.01.2019 16:00;48.02
01.01.2019 17:00;48.93
01.01.2019 18:00;50.99
01.01.2019 19:00;52.79
01.01.2019 20:00;55.17
01.01.2019 21:00;55.05
01.01.2019 22:00;50.7
01.01.2019 23:00;55.12
02.01.2019 00:00;55.11
02.01.2019 01:00;49.97
02.01.2019 02:00;48.66
02.01.2019 03:00;41.56
02.01.2019 04:00;43.07
02.01.2019 05:00;38.6
02.01.2019 06:00;49.21
02.01.2019 07:00;52.54
02.01.2019 08:00;54.99
02.01.2019 09:00;60.04
02.01.2019 10:00;64.83
02.01.2019 11:00;64.8
02.01.2019 12:00;64.29
02.01.2019 13:00;63.44
02.01.2019 14:00;60.24
02.01.2019 15:00;59.4
02.01.2019 16:00;62.01
02.01.2019 17:00;63.59
02.01.2019 18:00;68.67
02.01.2019 19:00;70.12
02.01.2019 20:00;69.69
02.01.2019 21:00;66.9
02.01.2019 22:00;60.94
02.01.2019 23:00;60.07
03.01.2019 00:00;58.97
03.01.2019 01:00;53.03
03.01.2019 02:00;50.5
03.01.2019 03:00;48.32
03.01.2019 04:00;45.44
03.01.2019 05:00;45.49
03.01.2019 06:00;49.94
03.01.2019 07:00;54.97
03.01.2019 08:00;66.88
03.01.2019 09:00;69.47
03.01.2019 10:00;69.56
03.01.2019 11:00;69.63
03.01.2019 12:00;69.05
03.01.2019 13:00;68.95
03.01.2019 14:00;66.62
03.01.2019 15:00;66.11
03.01.2019 16:00;67.78
03.01.2019 17:00;68.65
03.01.2019 18:00;71.21
03.01.2019 19:00;71.79
03.01.2019 20:00;71.09
03.01.2019 21:00;69.65
03.01.2019 22:00;63.02
03.01.2019 23:00;61.02
04.01.2019 00:00;57.35
04.01.2019 01:00;52.59
04.01.2019 02:00;51.69
04.01.2019 03:00;49.95
04.01.2019 04:00;48.41
04.01.2019 05:00;48.12
04.01.2019 06:00;50.33
04.01.2019 07:00;54.03
04.01.2019 08:00;65.95
04.01.2019 09:00;69.92
04.01.2019 10:00;70
04.01.2019 11:00;69.93
04.01.2019 12:00;69.92
04.01.2019 13:00;69.37
04.01.2019 14:00;69.04
04.01.2019 15:00;67.64
04.01.2019 16:00;68.3
04.01.2019 17:00;69.39
04.01.2019 18:00;71.58
04.01.2019 19:00;72.19
04.01.2019 20:00;69.98
04.01.2019 21:00;69.76
04.01.2019 22:00;64.66
04.01.2019 23:00;64.74
05.01.2019 00:00;60.7
05.01.2019 01:00;63.06
05.01.2019 02:00;58.48
05.01.2019 03:00;54.73
05.01.2019 04:00;52.53
05.01.2019 05:00;51.58
05.01.2019 06:00;52.52
05.01.2019 07:00;52.94
05.01.2019 08:00;54.07
05.01.2019 09:00;60.32
05.01.2019 10:00;65.05
05.01.2019 11:00;65.08
05.01.2019 12:00;64.8
05.01.2019 13:00;63.4
05.01.2019 14:00;60.07
05.01.2019 15:00;58.06
05.01.2019 16:00;57.95
05.01.2019 17:00;58.85
05.01.2019 18:00;66.13
05.01.2019 19:00;68.09
05.01.2019 20:00;68.01
05.01.2019 21:00;66.41
05.01.2019 22:00;59.9
05.01.2019 23:00;61.13
06.01.2019 00:00;61.12
06.01.2019 01:00;62.94
06.01.2019 02:00;58.94
06.01.2019 03:00;54.74
06.01.2019 04:00;50.55
06.01.2019 05:00;49.85
06.01.2019 06:00;48.13
06.01.2019 07:00;51.52
06.01.2019 08:00;54.35
06.01.2019 09:00;55.06
06.01.2019 10:00;57.53
06.01.2019 11:00;62.05
06.01.2019 12:00;62.65
06.01.2019 13:00;63.72
06.01.2019 14:00;60.95
06.01.2019 15:00;57.23
06.01.2019 16:00;55.98
06.01.2019 17:00;59.05
06.01.2019 18:00;64.6
06.01.2019 19:00;67.7
06.01.2019 20:00;67.29
06.01.2019 21:00;67.04
06.01.2019 22:00;61.24
06.01.2019 23:00;63.25
07.01.2019 00:00;61.07
07.01.2019 01:00;52.94
07.01.2019 02:00;51.23
07.01.2019 03:00;47.74
07.01.2019 04:00;46.64
07.01.2019 05:00;46.84
07.01.2019 06:00;49.89
07.01.2019 07:00;59.14
07.01.2019 08:00;71.19
07.01.2019 09:00;74
07.01.2019 10:00;74.91
07.01.2019 11:00;75.48
07.01.2019 12:00;75.03
07.01.2019 13:00;72.42
07.01.2019 14:00;70.4
07.01.2019 15:00;68.85
07.01.2019 16:00;68.23
07.01.2019 17:00;68.46
07.01.2019 18:00;69.97
07.01.2019 19:00;71.31
07.01.2019 20:00;70.67
07.01.2019 21:00;69.1
07.01.2019 22:00;64.04
07.01.2019 23:00;62.02
08.01.2019 00:00;60.96
08.01.2019 01:00;51.08
08.01.2019 02:00;46.27
08.01.2019 03:00;45.57
08.01.2019 04:00;43.77
08.01.2019 05:00;42.54
08.01.2019 06:00;46.36
08.01.2019 07:00;52.9
08.01.2019 08:00;64.5
08.01.2019 09:00;66.78
08.01.2019 10:00;68.05
08.01.2019 11:00;67.13
08.01.2019 12:00;67
08.01.2019 13:00;64.31
08.01.2019 14:00;64.31
08.01.2019 15:00;63.71
08.01.2019 16:00;63.08
08.01.2019 17:00;61.82
08.01.2019 18:00;65.13
08.01.2019 19:00;68.04
08.01.2019 20:00;67.8
08.01.2019 21:00;63.77
08.01.2019 22:00;60.05
08.01.2019 23:00;60.01
09.01.2019 00:00;56.24
09.01.2019 01:00;57.01
09.01.2019 02:00;53.01
09.01.2019 03:00;52.57
09.01.2019 04:00;50.27
09.01.2019 05:00;49.09
09.01.2019 06:00;51.87
09.01.2019 07:00;59.22
09.01.2019 08:00;64.56
09.01.2019 09:00;66.18
09.01.2019 10:00;66.2
09.01.2019 11:00;66.06
09.01.2019 12:00;65.9
09.01.2019 13:00;65.94
09.01.2019 14:00;65.43
09.01.2019 15:00;64.37
09.01.2019 16:00;63.75
09.01.2019 17:00;63.95
09.01.2019 18:00;66.63
09.01.2019 19:00;68.22
09.01.2019 20:00;67.97
09.01.2019 21:00;66.13
09.01.2019 22:00;62.24
09.01.2019 23:00;62.29
10.01.2019 00:00;59.04
10.01.2019 01:00;57.96
10.01.2019 02:00;53.82
10.01.2019 03:00;53.55
10.01.2019 04:00;53.73
10.01.2019 05:00;52.91
10.01.2019 06:00;54.9
10.01.2019 07:00;61.84
10.01.2019 08:00;72.93
10.01.2019 09:00;78.27
10.01.2019 10:00;78.17
10.01.2019 11:00;77.85
10.01.2019 12:00;76.88
10.01.2019 13:00;73.23
10.01.2019 14:00;72.58
10.01.2019 15:00;72.57
10.01.2019 16:00;73.18
10.01.2019 17:00;74.36
10.01.2019 18:00;80.02
10.01.2019 19:00;79.49
10.01.2019 20:00;77.33
10.01.2019 21:00;70.93
10.01.2019 22:00;67.08
10.01.2019 23:00;64.75
11.01.2019 00:00;56.95
11.01.2019 01:00;63.44
11.01.2019 02:00;57.01
11.01.2019 03:00;56.04
11.01.2019 04:00;52.93
11.01.2019 05:00;52.45
11.01.2019 06:00;53.81
11.01.2019 07:00;64.19
11.01.2019 08:00;69.6
11.01.2019 09:00;70.81
11.01.2019 10:00;70.52
11.01.2019 11:00;70.56
11.01.2019 12:00;70.68
11.01.2019 13:00;70.34
11.01.2019 14:00;70
11.01.2019 15:00;69.99
11.01.2019 16:00;68.24
11.01.2019 17:00;68.97
11.01.2019 18:00;69.65
11.01.2019 19:00;69.66
11.01.2019 20:00;69.53
11.01.2019 21:00;69.62
11.01.2019 22:00;66.5
11.01.2019 23:00;66.08
12.01.2019 00:00;63.9
12.01.2019 01:00;62.18
12.01.2019 02:00;57.05
12.01.2019 03:00;54.67
12.01.2019 04:00;53.39
12.01.2019 05:00;53.01
12.01.2019 06:00;52.68
12.01.2019 07:00;53.08
12.01.2019 08:00;55.78
12.01.2019 09:00;58.55
12.01.2019 10:00;61.32
12.01.2019 11:00;63.21
12.01.2019 12:00;63.98
12.01.2019 13:00;61.99
12.01.2019 14:00;60.6
12.01.2019 15:00;58.13
12.01.2019 16:00;58.04
12.01.2019 17:00;60.53
12.01.2019 18:00;60.57
12.01.2019 19:00;63.04
12.01.2019 20:00;61.15
12.01.2019 21:00;57.71
12.01.2019 22:00;53.96
12.01.2019 23:00;56.5
13.01.2019 00:00;53.97
13.01.2019 01:00;53.9
13.01.2019 02:00;52.07
13.01.2019 03:00;49.06
13.01.2019 04:00;47.06
13.01.2019 05:00;43.43
13.01.2019 06:00;39.09
13.01.2019 07:00;26.81
13.01.2019 08:00;37.53
13.01.2019 09:00;39.78
13.01.2019 10:00;46.24
13.01.2019 11:00;48.47
13.01.2019 12:00;47.92
13.01.2019 13:00;54.09
13.01.2019 14:00;53.83
13.01.2019 15:00;52.83
13.01.2019 16:00;53.64
13.01.2019 17:00;54.45
13.01.2019 18:00;57.05
13.01.2019 19:00;58.77
13.01.2019 20:00;57.02
13.01.2019 21:00;53.63
13.01.2019 22:00;52.06
13.01.2019 23:00;52.95
14.01.2019 00:00;52.63
14.01.2019 01:00;48.92
14.01.2019 02:00;40.91
14.01.2019 03:00;42.1
14.01.2019 04:00;38.06
14.01.2019 05:00;39.05
14.01.2019 06:00;48.12
14.01.2019 07:00;55.32
14.01.2019 08:00;62.91
14.01.2019 09:00;65.96
14.01.2019 10:00;65.98
14.01.2019 11:00;66.22
14.01.2019 12:00;66.27
14.01.2019 13:00;65.51
14.01.2019 14:00;65.15
14.01.2019 15:00;64.57
14.01.2019 16:00;64.83
14.01.2019 17:00;64.17
14.01.2019 18:00;65.98
14.01.2019 19:00;69.97
14.01.2019 20:00;69.17
14.01.2019 21:00;66.23
14.01.2019 22:00;62.28
14.01.2019 23:00;61.39
15.01.2019 00:00;57.06
15.01.2019 01:00;57.68
15.01.2019 02:00;55.37
15.01.2019 03:00;53.56
15.01.2019 04:00;53.26
15.01.2019 05:00;53.23
15.01.2019 06:00;54.35
15.01.2019 07:00;59.85
15.01.2019 08:00;66.99
15.01.2019 09:00;69.56
15.01.2019 10:00;69.02
15.01.2019 11:00;69.28
15.01.2019 12:00;67.19
15.01.2019 13:00;66.52
15.01.2019 14:00;66.05
15.01.2019 15:00;65.91
15.01.2019 16:00;64.16
15.01.2019 17:00;65.39
15.01.2019 18:00;68.77
15.01.2019 19:00;70.63
15.01.2019 20:00;70.1
15.01.2019 21:00;69.01
15.01.2019 22:00;66.19
15.01.2019 23:00;63.09
16.01.2019 00:00;62.12
16.01.2019 01:00;59.9
16.01.2019 02:00;55.12
16.01.2019 03:00;53.91
16.01.2019 04:00;53.19
16.01.2019 05:00;52.86
16.01.2019 06:00;55.1
16.01.2019 07:00;62.01
16.01.2019 08:00;66.69
16.01.2019 09:00;68.05
16.01.2019 10:00;70.1
16.01.2019 11:00;70.17
